index,next_index,qst_actID,qst_missionID,qst_rewardID,qst_type,qst_req_type1,qst_req_value1,qst_req_type2,qst_req_value2,qst_villagerID,ui_title,ui_desc,ui_comp
int,int,int,int,int,int,int,string,int,string,int,string,string,string
1010000,1010001,100,100,100,1,0,0,0,0,113001,ui_title_1010000,ui_desc_1010000,ui_comp_1010000
1010001,1010002,200,101,101,1,2,10000,0,0,113002,ui_title_1010001,ui_desc_1010001,ui_comp_1010001
1010002,1010003,300,103,103,1,2,10001,0,0,113001,ui_title_1010002,ui_desc_1010002,ui_comp_1010002
1010003,1010004,400,106,106,1,2,10002,0,0,113002,ui_title_1010003,ui_desc_1010003,ui_comp_1010003
1010004,1010005,0,107,107,1,2,10003,0,0,113001,ui_title_1010004,ui_desc_1010004,ui_comp_1010004
1010005,0,0,108,108,1,2,10004,0,0,113002,ui_title_1010005,ui_desc_1010005,ui_comp_1010005
1110000,1110001,100,100,100,2,0,0,0,0,113001,ui_title_1110000,ui_desc_1110000,ui_comp_1110000
1110001,1110002,200,101,101,2,2,20000,0,0,113001,ui_title_1110001,ui_desc_1110001,ui_comp_1110001
1110002,1110003,300,103,103,2,2,20001,0,0,113001,ui_title_1110002,ui_desc_1110002,ui_comp_1110002
1110003,1110004,400,106,106,2,2,20002,1,2,113001,ui_title_1110003,ui_desc_1110003,ui_comp_1110003
1110004,1110005,0,107,107,2,2,20003,3,113001,2,113001,ui_title_1110004,ui_desc_1110004,ui_comp_1110004
1110005,0,0,108,108,2,2,20004,4,113001,113002,113001,ui_title_1110005,ui_desc_1110005,ui_comp_1110005
1210000,1210001,100,100,100,3,0,0,4,113001,113002,113001,ui_title_1210000,ui_desc_1210000,ui_comp_1210000
1210001,1210002,200,101,101,3,2,30000,4,113001,113002,113002,ui_title_1210001,ui_desc_1210001,ui_comp_1210001
1210002,1210003,300,103,103,3,2,30001,4,113001,113002,113001,ui_title_1210002,ui_desc_1210002,ui_comp_1210002
1210003,1210004,400,106,106,3,2,30002,4,113001,113002,113002,ui_title_1210003,ui_desc_1210003,ui_comp_1210003
1210004,1210005,0,107,107,3,2,30003,4,113001,113002,113001,ui_title_1210004,ui_desc_1210004,ui_comp_1210004
1210005,0,0,108,108,3,2,30004,4,113001,113002,113002,ui_title_1210005,ui_desc_1210005,ui_comp_1210005
